Year,New York City Population,NYC Consumption(Million gallons per day),Per Capita(Gallons per person per day),Percentage Change in Consumption,,,
1979,7102100,1512,213,,,Average NYC Consumption (Million gallons per day),1206.557727
1980,7071639,1506,213,-0.4,,Average Per Capita (Gallons per person per day),154.7272727
1981,7089241,1309,185,-13.08,,MIN NYC Population,7071639
1982,7109105,1382,194,5.58,,MAX NYC Population,8826472
1983,7181224,1424,198,3.04,,MIN NYC Consumption (Million gallons per day),979
1984,7234514,1465,203,2.88,,MAX NYC Consumption (Million gallons per day),1512
1985,7274054,1326,182,-9.49,,Sum of NYC Consumption (Million gallons per day),53088.54
1986,7319246,1351,185,1.89,,Sum of NYC Population,348184700.5
1987,7342476,1447,197,7.11,,,
1988,7353719,1484,202,2.56,,,
1989,7344175,1402,191,-5.53,,,
1990,7335650,1424,194,1.57,,,
1991,7374501,1469,199,3.16,,,
1992,7428944,1369,184,-6.81,,,
1993,7506166,1368.5,182,-0.04,,,
1994,7570458,1357.7,179,-0.79,,,
1995,7633040,1325.7,174,-2.36,,,
1996,7697812,1297.9,169,-2.1,,,
1997,7773443,1205.5,155,-7.12,,,
1998,7858259,1219.5,155,1.16,,,
1999,7947660,1237.2,156,1.45,,,
2000,8008278,1240.4,155,0.26,,,
2001,8024963.5,1184,148,-4.55,,,
2002,8041649,1135.6,141,-4.09,,,
2003,8058334.5,1093.7,136,-3.69,,,
2004,8075020,1099.5,136,0.53,,,
2005,8091705.5,1138,141,3.5,,,
2006,8108391,1069,132,-6.06,,,
2007,8125076.5,1114,137,4.21,,,
2008,8141762,1098,135,-1.44,,,
2009,8158447.5,1007.5,123,-8.24,,,
2010,8175133,1039,127,3.13,,,
2011,8337995,1021,122,-1.73,,,
2012,8463949,1009.14,119,-1.16,,,
2013,8565546,1006.1,117,-0.3,,,
2014,8655309,996,115,-1,,,
2015,8736703,1009,115,1.31,,,
2016,8794605,1002,114,-0.69,,,
2017,8815448,990.2,112,-1.18,,,
2018,8826472,1008,114,1.8,,,
2019,8824887,987.4,112,-2.04,,,
2020,8804190,981,111,-0.65,,,
2021,8467513,979,116,-0.2,,,
2022,8335897,999,120,2.04,,,
